北中心测试环境有几套，都是什么环境？	八套环境
有哪些是需要我回复的问题，如何查询？	在消息-待答复的问题列表中可以查询待处理的问题。
已提交问题，无法修改、删除	您好 还有一套配套的pc端的问题管理系统正在开发和测试中 供咱们中心同事使用 上面有更多的权限相关操作 方便咱中心同事进行支持工作
体验提问	测试问题答复
设为最佳	感谢您的问题 不同手机适配存在问题 今后改进
只支持不到40个文字，复杂问题不易描述完整	华姐，提问时点击输入描述即可不限字数描述问题。
没有回到顶端的按钮	您好 感谢您的建议！今后会做出改进
体验阶段建议增加体验问题的标签	提交到“App意见建议”标签即可。
有关标签分类	关于标签分类的疑问 您可以在首页点击标签的字进入该标签 就有介绍啦
添加答案可以加图片，提问时只能描述不能添加图片吗？	多谢看到了！一般使用习惯是写完标题直接下一步进行具体问题描述后再添加图片，个人习惯吧。
这个App 是否支持境外分行用户？	可以有～
个人信息电话号码建议能直接拨打	(ง •̀_•́)ง
个人简介编写问题	感谢您的试用 相关功能今后版本将会优化
数据仓库Hadoop是否提供灵活查询?	同问，😄
北数i服务，我是否可以修改我的问题和答案?	您好，后续会加入问题与回答的编辑功能，方便对问题和回答进行修改和二次编辑，感谢您的支持和反馈，敬请期待！
北数i服务，能否增加首页刷新按钮?	您好，首页下拉即可刷新，感谢您的反馈和支持！
测试环境中，参数表下载后打开提示无权限，如何解决？	DSM加密 需配置AD域
这个好像不支持表情😊	馃憦馃徔
关注时，页面弹出的是是否取消关注的询问	今天发布新版本解决，感谢您的支持和反馈~
建议增加收藏等查询功能	可通过 我的关注 实现
有没有童鞋知道银行营业网点代码是指什么？银行内部的还是全国范围内各家银行统一定义	机构代码是咱行内部使用的。有个联行行号好像是人民银行统一的。
个人信息-电话无法维护	您好，请您更新新版本，即可进行编辑，感谢您的反馈和试用。
对APP的建议	建议把我们的产品线列出来，方便分行的人找到合适的人员提出问题。另外是否可以进入APP后首先有个目录页面，大家可以进入自己想看的内容下的问题和回答。
刚有两次闪退现象；另外今天查看问题App响应速度比较慢，是有新版本？	安卓有新版本发布～ 全新的消息界面哦
能不能优先解决下标签优化的问题，查找问题好麻烦	附件每次只能添加一张啊？
有支持IOS8得计划吗	据说8以下只占2%，近期先兼容9，8暂时没计划。ps.我也是8，装不上。
我的关注中的标签现在是默认全部显示吗？	添加图片的功能比较慢
其他问题	您好 现在正在开发测试供中心员工使用的pc端管理系统 在该系统上可以做更多相关编辑 及权限相关功能
建议增加分享功能	您好，由于我们的app针对的是行没业务知识进行分享个交流，涉及到知识保密，所以目前不支持信息分享的功能，后续我们会讨论信息分享的策略，提供相关功能，感谢您的反馈！
输入字符太快，卡机	您好，您能具体描述一下吗
苹果6下载手机客户端显示3.0.08，输入手机银行网址下载也是0.8	您好，现在Appstore最新iOS手机银行版本是3.0.0.8.2，您可以在Appstore下载最新版本就支持啦～
标签不显示，请问新版本咋下载，再问一遍哦	我的-设置-关于，可以检测并更新版本。
请问业务白皮书的详细介绍，有老师了解吗	为啥没有人回答呢
如何成为我行私人银行客户？	客户持有800万以上资产，可以联系我行客户经理，申请准入我行私人银行客户，享受专属服务
APP版本已经可以自动推送了。	欢迎大家使用
私人银行理财产品可通过哪些渠道购买？	财富顾问可通过远程渠道为客户进行购买申请，需经客户确认后才可申请成功。客户也可自行通过我行网银、手机银行、融e联购买
苹果手机安装时，提示未受信任的企业级开发者	您好，我们的app由于是企业内部是使用，所以使用了苹果得企业发布方式，这种方式需要您进行授权，是类似于工银e办公的模式。出现提时候，您可以进入设置-通用-设备监管，然后对证书进行授权同意，就可以正常打
app发布问题，为何只输入标题，没有内容输入？	您可以点击 “输入详情” 来编辑问题描述
我输入问题标题后，想输入描述，键盘一直不跳出，只提示我粘贴，这是怎么回事呢？	另外，别人给我点赞我也看不到是谁点的，看过马思玄答复的说在那个页面可以点开看谁点赞，结果我自己给自己点了个赞
我行商户支持异地借记卡做商户的清算账号吗？	2017年10月版本投产后即可支持。
酒店mis远程升级的途径？	通过收银端TMS升级按钮触发升级
成为我行私人银行客户，要求多少资产？	800万
电子现金芯片可充值上限是多少钱？	1000元
随机中奖何时给持卡人入账？	t+1日批量给持卡人入账
目前，我行哪些手机客户端可以在银联商户做二维码支付？	目前，我行融e行，融e联，e生活生成的支付二维码，都可以在银联商户做被扫支付。
Pos支持扫描微信付款码吗？	已经支持啦～在我行商户可以使用微信付款码完成支付
app优化建议	您好，标签体系正在重构，敬请期待，感谢您的试用和反馈！
标签在哪添加？	添加标签可以通过搜索匹配关键字，或者通过点击更多标签进去全量标签页进行点选，感谢您的试用！
随机中奖是否支持内部户透支扣账？	不支持，必须有余额才可以
电子密码器激活后有效期是几年？	五年
提出的问题可以选择回答人员吗？	濂藉儚鏆傛椂杩樻病鏈夎繖涓姛鑳金煒?
联网核查的问题	联网核查的目的是核查客户身份，前台柜员在办业务时如遇联网核查不一致一般是不会继续办理的，只有在联网核查故障时才走授权。
建议ATM功能和其他自助设备功能共融，便于客户操作，增加设备使用率。	&nbsp; &nbsp; &nbsp; &nbsp;总行目前已立项，拟更多的对接场景营销，并充分发挥自动柜员机可离行部署，7*24小时对外服务的特点，引入非现业务功能。如：当客户存入一定现金后，系统
建议增加人脸和指纹识别ATM取款功能	关于生物识别技术，目前总行正在统一研究中。
自助设备插卡能实现无角度识别吗？	就是卡随便插进卡槽吗
提问时选择标签时，系统跳转到首页，退出提问。	退出多次，只能不选标签直接发布。貌似不选标签的直接归集到其他问题里了。
代理收付三方协议如何签署	代理三方收付业务有很多产品可以支持，收付款方式有线上有工银e缴费，B2B和B2C业务，企业网银、银企互联批量扣个人企业和批量付款，或三方快捷支付，具体看客户什么需求，产品不同协议不同。
电子密码器没电了怎么办？	北京市大部分网点都没有密码器了，免费的办法是需要注销原有网银，再重新开通，会得到一个可以插手机使用的二代U盾
提问题时选择相册图片能否多选	不能多选，只能一次次选
境外总行POS又多少个地区版本？都是那些地区使用。	对
有关存储失败	是不是IOS没开权限
支持上传文档？ppt..pdf格式支持吗？	目前尚未支持，已经在规划中，后续将陆续上线。华姐可以先准备好各种文档，待支持后就放进来丰富内容，谢谢。
